,PV production,Consumption,Net demand,Reward,Excess Energy,Hydrogen storage,Energy Bought,Energy Sold
2955,0.0,0.013831032973942227,0.013831032973942227,-0.005446744035164905,0.0,0.0,0.0027233720175824524,0
2956,0.0,0.05470971664161288,0.05470971664161288,-0.027662065947884455,0.0,0.0,0.013831032973942227,0
2957,0.049603082622283245,0.1685639058969454,0.11896082327466215,-0.10941943328322576,0.0,0.0,0.05470971664161288,0
2958,0.9593686897327958,0.4046014367729667,-0.5547672529598291,-0.2379216465493243,0.0,0.0,0.11896082327466215,0
2959,1.5929353146493048,0.7569124583931639,-0.8360228562561409,0.0,0.0,0.0,0.0,0
2960,1.9801775792376735,1.1050285683879122,-0.8751490108497613,0.0,0.0,0.0,0.0,0
2961,5.197613840436584,1.264023161863844,-3.93359067857274,0.0,0.0,0.7150000000000001,0.0,0
2962,4.118183059758992,1.1485728064688463,-2.9696102532901456,0.0,0.0,1.4300000000000002,0.0,0
2963,5.753957476207966,0.8706665165259978,-4.883290959681968,0.0,0.0,2.1450000000000005,0.0,0
2964,4.737094252663946,0.6425999847621038,-4.094494267901842,0.0,0.0,2.8600000000000003,0.0,0
2965,5.575273579599403,0.6080130486750699,-4.967260530924333,0.0,0.0,3.575,0.0,0
2966,4.564047156672783,0.7794490951348186,-3.784598061537964,0.0,0.0,4.29,0.0,0
2967,5.344732105313948,1.083110449298905,-4.261621656015043,0.0,17.798185422281325,5.005,0.0,0
2968,3.562966834390576,1.4143858459932024,-2.1485809883973737,0.0,18.512912951127824,5.72,0.0,0
2969,2.60021609855856,1.668101012420986,-0.932115086137574,0.0,17.998423320441525,4.619999999999999,0.0,0
2970,0.7333364798503228,1.7630044087827332,1.0296679289324104,0.0,16.64679454015286,3.519999999999999,0.0,0
2971,0.07102259450478549,1.667688187400249,1.5966655928954634,0.0,0.0,2.419999999999999,0.0,0
2972,0.0,1.4116639837604288,1.4116639837604288,0.0,0.0,1.319999999999999,0.0,0
2973,0.0,1.0692860051979018,1.0692860051979018,0.0,0.0,0.21999999999999886,0.0,0
2974,0.0,0.7247722839366793,0.7247722839366793,0.0,0.0,0.21999999999999886,0.0,0
2975,0.0,0.43959661104096615,0.43959661104096615,0.0,0.0,0.21999999999999886,0.0,0
2976,0.0,5.5881089850098454e-05,5.5881089850098454e-05,0.0,0.0,0.9349999999999989,0.0,0
2977,0.0,0.0004678450363026216,0.0004678450363026216,0.0,0.0,0.0,0.0,0
2978,0.0,0.003050676912503465,0.003050676912503465,0.0,0.0,0.0,0.0,0
2979,0.0,0.015493297536021348,0.015493297536021348,0.0,0.0,0.0,0.0,0
2980,0.0,0.0612849321982585,0.0612849321982585,0.0,0.0,0.0,0.0,0
2981,0.18601155847370496,0.18882253789833142,0.002810979424626464,0.0,0.0,0.0,0.0,0
2982,1.1104326317317108,0.45322792991929184,-0.657204701812419,0.0,0.0,0.7150000000000001,0.0,0
2983,1.939593213862332,0.8478809897063043,-1.0917122241560278,0.0,0.0,1.4300000000000002,0.0,0
2984,3.6773920565701026,1.237834977914727,-2.4395570786553753,0.0,0.0,2.1450000000000005,0.0,0
2985,3.215745142945204,1.415938128126453,-1.7998070148187513,0.0,0.0,2.8600000000000003,0.0,0
2986,4.009394637633194,1.2866125231521868,-2.722782114481007,0.0,0.0,1.7600000000000002,0.0,0
2987,5.546526391015928,0.9753064301562179,-4.57121996085971,0.0,0.0,2.4750000000000005,0.0,0
2988,6.463056091232394,0.7198300213237308,-5.743226069908664,0.0,17.718716571908303,1.3750000000000004,0.0,0
2989,7.625910253801518,0.6810862996750771,-6.9448239541264405,0.0,21.992473411009627,0.27500000000000036,0.0,0
2990,6.975433342359971,0.873126162583668,-6.102307179776303,0.0,22.869248837918267,0.0,0.0,0
2991,7.82206765377172,1.2132826584230652,-6.608784995348655,0.0,21.78034131086256,0.0,0.0,0
2992,4.468786727351965,1.5843719542853494,-2.8844147730666156,0.0,22.343094439276285,0.0,0.0,0
2993,1.9756682341169505,1.8685795453071221,-0.10708868880982836,0.0,18.20490530340735,0.0,0.0,0
2994,0.614401794799122,1.9748887819188556,1.3604869871197336,0.0,15.11898743201092,0.0,0.0,0
2995,0.13189910038826835,1.868117105452583,1.7362180050643146,0.0,0.0,0.0,0.0,0
2996,0.0,1.581322968609162,1.581322968609162,0.0,0.0,0.0,0.0,0
2997,0.0,1.1977967416350375,1.1977967416350375,0.0,0.0,0.0,0.0,0
2998,0.0,0.8118780905264598,0.8118780905264598,0.0,0.0,0.0,0.0,0
2999,0.0,0.4924289533193896,0.4924289533193896,0.0,0.0,0.0,0.0,0
3000,0.0,4.7915973944374325e-05,4.7915973944374325e-05,0.0,0.0,0.0,0.0,0
3001,0.0,0.0004011598669534856,0.0004011598669534856,0.0,0.0,0.0,0.0,0
3002,0.0,0.002615842959475902,0.002615842959475902,0.0,0.0,0.0,0.0,0
3003,0.0,0.013284931325424567,0.013284931325424567,0.0,0.0,0.0,0.0,0
3004,0.0,0.05254956949250208,0.05254956949250208,0.0,0.0,0.0,0.0,0
3005,0.23505096488412366,0.16190836346100976,-0.0731426014231139,0.0,0.0,0.0,0.0,0
3006,0.8449433875119332,0.38862623723215084,-0.45631715027978237,0.0,0.0,0.0,0.0,0
3007,1.5506599826478586,0.7270266832604735,-0.8236332993873852,0.0,0.0,0.7150000000000001,0.0,0
3008,2.136878197226247,1.0613978486873181,-1.075480348538929,0.0,0.0,1.4300000000000002,0.0,0
3009,3.2191272929854278,1.2141147324819708,-2.0050125605034568,0.0,0.0,2.1450000000000005,0.0,0
3010,5.818216065522625,1.1032227950678966,-4.714993270454729,0.0,0.0,2.8600000000000003,0.0,0
3011,8.468598796776952,0.8362892996630368,-7.632309497113916,0.0,0.0,1.7600000000000002,0.0,0
3012,3.189252606348086,0.6172276997218502,-2.572024906626236,0.0,20.606288177396074,0.6600000000000001,0.0,0
3013,3.4789797908693583,0.5840063870737807,-2.8949734037955777,0.0,18.224472118473596,0.0,0.0,0
3014,2.8115928235007357,0.7486734880929825,-2.062919335407753,0.0,18.21663711532842,0.0,0.0,0
3015,0.7761754961974119,1.040345140084242,0.2641696438868302,0.0,17.292132594897502,0.0,0.0,0
3016,0.3731504532839578,1.3585405274553797,0.9853900741714219,0.0,0.0,0.0,0.0,0
3017,0.29141810568728005,1.6022380566682723,1.3108199509809924,0.0,0.0,0.0,0.0,0
3018,0.011273427370363994,1.6933943069346615,1.6821208795642975,0.0,0.0,0.0,0.0,0
3019,0.0,1.6018415315453662,1.6018415315453662,0.0,0.0,0.0,0.0,0
3020,0.0,1.355926134668681,1.355926134668681,0.0,0.0,0.0,0.0,0
3021,0.0,1.0270665374780588,1.0270665374780588,0.0,0.0,0.0,0.0,0
3022,0.0,0.696155524812222,0.696155524812222,0.0,0.0,0.0,0.0,0
3023,0.0,0.42223966926918866,0.42223966926918866,0.0,0.0,0.0,0.0,0
3024,0.0,4.538978248295245e-05,4.538978248295245e-05,0.0,0.0,0.0,0.0,0
3025,0.0,0.0003800102054285108,0.0003800102054285108,0.0,0.0,0.0,0.0,0
3026,0.0,0.002477932371321732,0.002477932371321732,0.0,0.0,0.0,0.0,0
3027,0.0,0.01258453274605261,0.01258453274605261,0.0,0.0,0.0,0.0,0
3028,0.0,0.049779088944460544,0.049779088944460544,0.0,0.0,0.0,0.0,0
3029,0.03663863977805237,0.15337234735534078,0.1167337075772884,0.0,0.0,0.0,0.0,0
3030,0.1488092471848074,0.36813736470458663,0.21932811751977924,0.0,0.0,0.0,0.0,0
3031,0.5027948656052651,0.6886969061884143,0.1859020405831492,0.0,0.0,0.0,0.0,0
3032,0.22377753726574426,1.0054395959000917,0.7816620586343475,0.0,0.0,0.7150000000000001,0.0,0
3033,2.047254418135305,1.1501050501588475,-0.8971493679764577,0.0,0.0,0.0,0.0,0
3034,2.2186105479513007,1.0450594775867184,-1.1735510703645824,0.0,0.0,0.7150000000000001,0.0,0
3035,3.7873080617514114,0.792199057637699,-2.9951090041137123,0.0,0.0,1.4300000000000002,0.0,0
3036,2.7642444620329236,0.5846866655648377,-2.179557796468086,0.0,0.0,0.33000000000000007,0.0,0
3037,3.044389078007785,0.5532168230308101,-2.491172254976975,0.0,0.0,0.0,0.0,0
3038,3.066935933255817,0.7092024637700913,-2.3577334694857255,0.0,0.0,0.7150000000000001,0.0,0
3039,1.7682371059167867,0.9854968130344042,-0.7827402928823826,0.0,0.0,0.0,0.0,0
3040,0.4678472383643516,1.286916532408603,0.8190692940442513,0.0,0.0,0.0,0.0,0
3041,0.2925454527335841,1.5177660160369084,1.2252205633033242,0.0,0.0,0.0,0.0,0
3042,0.047912067734634606,1.6041163921423023,1.5562043244076678,0.0,0.0,0.7150000000000001,0.0,0
3043,0.0,1.5173903962258906,1.5173903962258906,0.0,0.0,0.0,0.0,0
3044,0.0,1.2844399737550942,1.2844399737550942,0.0,0.0,0.7150000000000001,0.0,0
3045,0.0,0.9729182753494159,0.9729182753494159,0.0,0.0,0.0,0.0,0
3046,0.0,0.6594533147174447,0.6594533147174447,0.0,0.0,0.0,0.0,0
3047,0.0,0.39997865359162565,0.39997865359162565,0.0,0.0,0.0,0.0,0
3048,0.0,4.715546189898289e-05,4.715546189898289e-05,-0.5316347495208378,0.0,0.7150000000000001,0.2658173747604189,0
3049,0.0,0.00039479274372022054,0.00039479274372022054,0.0,0.0,0.0,0.0,0
3050,0.0,0.002574324861944518,0.002574324861944518,0.0,0.0,0.0,0.0,0
3051,0.0,0.013074075749225441,0.013074075749225441,0.0,0.0,0.0,0.0,0
3052,0.0,0.05171551401393501,0.05171551401393501,0.0,0.0,0.0,0.0,0
3053,0.10878857496529205,0.1593385886964467,0.050550013731154655,0.0,0.0,0.0,0.0,0
3054,0.7840668934486392,0.3824580450774153,-0.4016088483712239,0.0,0.0,0.0,0.0,0
3055,2.2682136032862523,0.7154874719197535,-1.5527261313664988,0.0,0.0,0.0,0.0,0
3056,3.9051154326747164,1.0445515700367716,-2.860563862637945,0.0,0.0,0.7150000000000001,0.0,0
3057,5.199868405335711,1.194844564257661,-4.00502384107805,0.0,0.0,0.0,0.0,0
3058,6.754474092161347,1.085712679853009,-5.6687614123083385,0.0,0.0,0.7150000000000001,0.0,0
3059,3.3008596432595447,0.823015895545987,-2.4778437477135578,0.0,0.0,1.4300000000000002,0.0,0
3060,4.057870153202597,0.6074311942614238,-3.450438958941173,0.0,0.0,0.33000000000000007,0.0,0
3061,4.65874396562466,0.5747371631512793,-4.084006802473381,0.0,17.324032883480335,0.0,0.0,0
