Date et heure,Production Photovolta�que (W),Consumption,Puissance autoconsommée (W),Puissance inject�e (W),Puissance soutir�e (W)
18/01 20:00,0,929.81,0,0,929.81
18/01 21:00,0,776.6,0,0,776.6
18/01 22:00,0,629.23,0,0,629.23
18/01 23:00,0,497.44,0,0,497.44
19/01 00:00,0,411.81,0,0,411.81
19/01 01:00,0,369.78,0,0,369.78
19/01 02:00,0,349.83,0,0,349.83
19/01 03:00,0,349.22,0,0,349.22
19/01 04:00,0,373.56,0,0,373.56
19/01 05:00,0,417.56,0,0,417.56
19/01 06:00,0,549.55,0,0,549.55
19/01 07:00,0,683.02,0,0,683.02
19/01 08:00,37.81,678.64,37.81,0,640.83
19/01 09:00,85.76,636.15,85.76,0,550.39
19/01 10:00,98.74,643.12,98.74,0,544.38
19/01 11:00,121.91,679.55,121.91,0,557.64
19/01 12:00,161.66,665.19,161.66,0,503.53
19/01 13:00,100.95,622.25,100.95,0,521.3
19/01 14:00,102.24,551.64,102.24,0,449.4
19/01 15:00,37.29,528.22,37.29,0,490.93
19/01 16:00,0,577.67,0,0,577.67
19/01 17:00,0,723.38,0,0,723.38
19/01 18:00,0,924.47,0,0,924.47
19/01 19:00,0,984.47,0,0,984.47
19/01 20:00,0,917.96,0,0,917.96
19/01 21:00,0,768.75,0,0,768.75
19/01 22:00,0,620.75,0,0,620.75
19/01 23:00,0,481.99,0,0,481.99
20/01 00:00,0,394.27,0,0,394.27
20/01 01:00,0,362.12,0,0,362.12
20/01 02:00,0,341.64,0,0,341.64
20/01 03:00,0,346.51,0,0,346.51
20/01 04:00,0,369.71,0,0,369.71
20/01 05:00,0,411.25,0,0,411.25
20/01 06:00,0,529.39,0,0,529.39
20/01 07:00,0,674.21,0,0,674.21
20/01 08:00,68.87,701.49,68.87,0,632.62
20/01 09:00,36.35,650.4,36.35,0,614.05
20/01 10:00,40.27,660.42,40.27,0,620.15
20/01 11:00,30.73,698.78,30.73,0,668.05
20/01 12:00,48.55,670.89,48.55,0,622.34
20/01 13:00,46.93,643.29,46.93,0,596.36
20/01 14:00,22.41,592.31,22.41,0,569.9
20/01 15:00,17.55,571.38,17.55,0,553.83
20/01 16:00,0,605.36,0,0,605.36
20/01 17:00,0,711.22,0,0,711.22
20/01 18:00,0,895.15,0,0,895.15
20/01 19:00,0,954.61,0,0,954.61
20/01 20:00,0,888.18,0,0,888.18
20/01 21:00,0,755.49,0,0,755.49
20/01 22:00,0,626.76,0,0,626.76
20/01 23:00,0,512.37,0,0,512.37
21/01 00:00,0,433.52,0,0,433.52
21/01 01:00,0,385.33,0,0,385.33
21/01 02:00,0,356.94,0,0,356.94
21/01 03:00,0,352.79,0,0,352.79
21/01 04:00,0,369.54,0,0,369.54
21/01 05:00,0,387.88,0,0,387.88
21/01 06:00,0,434.96,0,0,434.96
21/01 07:00,0,592.14,0,0,592.14
21/01 08:00,256.12,725.52,256.12,0,469.4
