Date,ProdPV,Consumption,Autoconsumed_power,Injected_power,Extracted_power
14/01 12:00,168.21,380.8,162.98,0,217.82
14/01 13:00,113.61,621.05,367.33,0,253.72
14/01 14:00,99.67,569.01,334.34,0,234.67
14/01 15:00,71.83,521.19,280.24,0,240.94
14/01 16:00,13.14,307.82,0,0,307.82
14/01 17:00,0,373.97,0,0,373.97
14/01 18:00,0,439.95,0,0,439.95
14/01 19:00,0,455.56,0,0,455.56
14/01 20:00,0,424.65,0,0,424.65
14/01 21:00,0,359.44,0,0,359.44
14/01 22:00,0,311.15,0,0,311.15
14/01 23:00,0,257.09,0,0,257.09
15/01 00:00,0,221.58,0,0,221.58
15/01 01:00,0,199.44,0,0,199.44
15/01 02:00,0,180.07,0,0,180.07
15/01 03:00,0,173.73,0,0,173.73
15/01 04:00,0,179.44,0,0,179.44
15/01 05:00,0,183.33,0,0,183.33
15/01 06:00,0,195.8,0,0,195.8
15/01 07:00,0,244.05,0,0,244.05
15/01 08:00,105.55,287.6,69.03,0,218.57
15/01 09:00,172.29,552.76,339.41,0,213.35
15/01 10:00,321.2,541.16,431.18,0,109.98
15/01 11:00,254.5,654.85,454.68,0,200.18
15/01 12:00,397.95,447.91,422.93,0,24.98
15/01 13:00,280.67,473.91,377.29,0,96.62
15/01 14:00,107.58,579.72,343.65,0,236.07
15/01 15:00,198.61,441.71,320.16,0,121.55
15/01 16:00,25.85,634.94,330.4,0,304.55
15/01 17:00,0,492.42,110.68,0,381.74
15/01 18:00,0,446.03,0,0,446.03
15/01 19:00,0,466.19,0,0,466.19
15/01 20:00,0,441.98,0,0,441.98
15/01 21:00,0,365.08,0,0,365.08
15/01 22:00,0,302.46,0,0,302.46
15/01 23:00,0,241.51,0,0,241.51
16/01 00:00,0,194.96,0,0,194.96
16/01 01:00,0,173.58,0,0,173.58
16/01 02:00,0,162.88,0,0,162.88
16/01 03:00,0,164.16,0,0,164.16
16/01 04:00,0,174.25,0,0,174.25
16/01 05:00,0,195.63,0,0,195.63
16/01 06:00,0,254.09,0,0,254.09
16/01 07:00,0,321.88,0,0,321.88
16/01 08:00,105.55,392.49,152.16,0,240.33
16/01 09:00,28.44,677.82,353.13,0,324.69
16/01 10:00,22.52,679.72,351.12,0,328.6
16/01 11:00,86.26,639.44,362.85,0,276.59
16/01 12:00,263.7,411.46,337.58,0,73.88
16/01 13:00,366.81,314.49,314.49,52.32,0
16/01 14:00,298.29,282.03,282.03,16.26,0
16/01 15:00,129.13,420.75,274.94,0,145.81
16/01 16:00,16.58,572.92,294.75,0,278.17
16/01 17:00,0,723.47,361.74,0,361.74
16/01 18:00,0,755.25,301.88,0,453.37
16/01 19:00,0,475.73,0,0,475.73
16/01 20:00,0,444.71,0,0,444.71
16/01 21:00,0,363,0,0,363
16/01 22:00,0,288.69,0,0,288.69
16/01 23:00,0,229.82,0,0,229.82
